job_title,job_date,job_views
['齐鲁理工学院2022年诚聘人才启事'],['2022-12-18 17:16'],['87']
['【山东上市公司】英科再生2023届校园招聘'],['2022-12-18 09:24'],['92']
['上海航天八院802所2023届博士招聘火爆开展'],['2022-12-17 18:41'],['122']
['福州大学最新博士后招聘公告'],['2022-12-17 16:21'],['69']
['中山大学中法核工程与技术学院人才招聘启事'],['2022-12-17 15:43'],['72']
['常州工学院2022年人才招聘启事'],['2022-12-17 15:43'],['92']
['枣庄学院2022年人才招聘简章'],['2022-12-17 15:43'],['72']
['海南自贸港生态软件园2023寒假「琼籍人才回家」招聘体验日'],['2022-12-16 19:47'],['66']
['北京大兴国际机场2023年校园招聘公告'],['2022-12-16 19:21'],['130']
['新疆大学机械工程学院2022年博士招聘启事'],['2022-12-16 17:39'],['85']
['湖南高尔夫旅游职业学院2022年招聘公告'],['2022-12-16 17:29'],['74']
['上海建工五建集团有限公司西安分公司'],['2022-12-16 17:24'],['102']
['中山大学理学院诚邀全球英才加盟'],['2022-12-16 16:51'],['57']
['浙江物产金属集团有限公司'],['2022-12-16 16:03'],['73']
['华芯巨数（杭州）微电子有限公司'],['2022-12-16 15:24'],['132']
['广西师范大学2022年人才招聘公告'],['2022-12-16 14:25'],['126']
['云道智造2023全球校园招聘简章'],['2022-12-16 10:48'],['215']
['清远职业技术学院2022年人才招聘'],['2022-12-16 10:41'],['131']
['成都职业技术学院2022年面向社会公开招聘26名编制外工作人员公告'],['2022-12-15 20:52'],['138']
['潍坊医学院2022年诚聘海内外优秀博士（长期招聘）'],['2022-12-15 19:19'],['98']
['2023 恩智浦中国实习生招聘开始啦！'],['2022-12-15 19:17'],['141']
['2023年拈花湾文旅校园招聘简章'],['2022-12-15 17:04'],['127']
['宝尊电商招聘简章'],['2022-12-15 17:02'],['101']
['浙江大学滨江研究院2023校园招聘'],['2022-12-15 16:56'],['135']
['广东奥马冰箱有限公司2023秋季全球校园招聘'],['2022-12-15 16:54'],['140']
['“智汇无锡” 2023届高校毕业生空中宣讲会和视频面试会'],['2022-12-15 16:46'],['157']
['云南锡业集团（控股）有限责任公司 2023年度高校毕业生招聘简章'],['2022-12-15 16:09'],['134']
['北京卓镭激光技术有限公司'],['2022-12-15 15:57'],['80']
['大连海事大学2023年教师、博士后招聘公告'],['2022-12-15 15:49'],['76']
['东风本田汽车有限公司招聘简章'],['2022-12-15 15:44'],['140']
['西安知象光电科技有限公司'],['2022-12-15 15:08'],['195']
['中国科学院声学研究所2022年科技、支撑类岗位招聘启事'],['2022-12-15 14:07'],['170']
['浙江巴赫厨具有限公司'],['2022-12-15 14:03'],['97']
['南阳师范学院“2022年中国·河南招才引智创新发展大会”招聘硕士研究生'],['2022-12-15 11:03'],['183']
['福建泉建研工程研究院有限公司招聘简章'],['2022-12-15 10:50'],['108']
['中国科学院国家授时中心部分管理部门 工作人员招聘公告'],['2022-12-15 10:48'],['138']
['国家授时中心2023年科技岗位招聘公告'],['2022-12-15 10:47'],['155']
['【深圳国企】深圳方正微电子有限公司2023届校园招聘'],['2022-12-15 10:37'],['210']
['西安电子科技大学杭州研究院2022年全球引才正式启动'],['2022-12-14 23:47'],['155']
['福州大学厦门工艺美术学院2022年人才招聘'],['2022-12-14 18:39'],['57']
['国防科技大学信息通信学院人才招聘公告'],['2022-12-14 17:19'],['102']
['深圳前海亚讯电子商务有限公司西安分公司'],['2022-12-14 16:52'],['285']
['情暖初冬·职为你选|全国重点高校2023届毕业生冬季联合招聘大型空中双选会'],['2022-12-14 16:25'],['137']
['国家级专精特新“小巨人”企业—佳思德科技2023届校园招聘'],['2022-12-14 15:58'],['102']
['福建省漳州市2023届选优生公告 （西安电子科技大学）'],['2022-12-14 14:58'],['97']
['上海票据交易所2022年秋季校园招聘公告'],['2022-12-14 14:03'],['160']
['车联天下2023届校园招聘简章'],['2022-12-14 13:38'],['107']
